ServiceDateTime,Routes,RouteName,EarlyDeparture,OnTime,LateArrival,Missing,TimePointCount,OTP,AverageDwellTime
5/10/2016,2,BLANCO,9,691,159,22,859,80.44,123.58
5/10/2016,3,SAN PEDRO SKIP,11,568,85,18,664,85.54,151.57
5/10/2016,4,SAN PEDRO Frequent,11,605,93,5,709,85.33,133.11
5/10/2016,5,McCULLOUGH,15,357,74,10,446,80.04,213.75
5/10/2016,6,US-281 Express,8,152,15,5,175,86.86,70.56
5/10/2016,7,SIGHTSEER SPECIAL,6,56,11,23,73,76.71,91.69
5/10/2016,8,N ST MARYS,13,355,92,98,460,77.17,141.74
5/10/2016,9,BROADWAY,10,284,39,33,333,85.29,131.22
5/10/2016,10,NACO/BROADWAY,5,244,86,49,335,72.84,212.35
5/10/2016,14,PERRIN BEITEL,12,510,134,21,656,77.74,151.71
5/10/2016,17,IH-35 Express,6,120,7,51,133,90.23,228.37
5/10/2016,20,NEW BRAUNFELS Frequent,27,648,76,5,751,86.28,126.81
5/10/2016,21,KIRBY / CONVERSE,26,293,82,96,401,73.07,138.84
5/10/2016,22,HAYS Frequent,6,363,31,5,400,90.75,139.07
5/10/2016,24,EAST HOUSTON Frequent,15,363,55,10,433,83.83,141.25
5/10/2016,25,E. COMMERCE Frequent,23,347,95,109,465,74.62,136.89
5/10/2016,26,MARTIN LUTHER KING,19,320,69,1,408,78.43,176.55
5/10/2016,28,PORTER,22,415,128,7,565,73.45,132.88
5/10/2016,30,RIGSBY,21,296,48,18,365,81.1,179.16
5/10/2016,32,STEVES AVE.,8,254,32,35,294,86.39,258.10
5/10/2016,34,SOUTH ST.MARY'S,14,505,82,16,601,84.03,137.95
5/10/2016,36,S.PRESA,11,245,66,9,322,76.09,138.26
5/10/2016,42,ROOSEVELT,15,447,74,33,536,83.4,97.71
5/10/2016,43,SOUTH FLORES,14,300,38,8,352,85.23,104.73
5/10/2016,44,PLEASANTON RD.,10,267,82,22,359,74.37,106.13
5/10/2016,46,COMMERCIAL,20,265,24,9,309,85.76,140.65
5/10/2016,48,IH-35 S Express,4,8,4,15,16,50,61.63
5/10/2016,51,NOGALITOS,24,366,56,24,446,82.06,201.47
5/10/2016,54,SOUTH ALAMO,1,66,46,3,113,58.41,194.31
5/10/2016,62,KIRK,14,251,43,6,308,81.49,268.71
5/10/2016,64,US 90 Express,17,164,35,54,216,75.93,124.42
5/10/2016,66,CERALVO Frequent,11,590,80,3,681,86.64,185.96
5/10/2016,67,LAREDO,7,168,36,41,211,79.62,149.60
5/10/2016,68,GUADALUPE Frequent,20,522,96,14,638,81.82,166.90
5/10/2016,70,CESAR CHAVEZ,6,99,10,15,115,86.09,126.82
5/10/2016,75,W. COMMERCE Frequent,21,519,107,14,647,80.22,128.67
5/10/2016,76,WEST COMMERCE Skip,13,494,45,19,552,89.49,95.06
5/10/2016,77,MARTIN,8,172,27,41,207,83.09,92.23
5/10/2016,79,RUIZ  Frequent,16,271,96,17,383,70.76,85.04
5/10/2016,82,CULEBRA,12,458,49,39,519,88.25,130.51
5/10/2016,88,BANDERA,15,391,82,10,488,80.12,210.00
5/10/2016,89,POPLAR,12,244,47,3,303,80.53,192.98
5/10/2016,90,WOODLAWN,7,333,82,5,422,78.91,175.63
5/10/2016,93,IH-10 CROSSROADS/UTSA Express,13,231,21,28,265,87.17,103.87
5/10/2016,94,IH-10 / FIESTA TEXAS Express,5,194,6,73,205,94.63,114.00
5/10/2016,95,FREDERICKSBURG RD,3,191,24,2,218,87.61,150.30
5/10/2016,96,VANCE JACKSON,22,330,57,46,409,80.68,193.94
5/10/2016,97,WEST AVE,14,309,229,17,552,55.98,146.35
5/10/2016,100,PRIMO FRED RD,36,1111,288,32,1435,77.42,124.47
5/10/2016,502,THOUSAND OAKS,8,173,76,19,257,67.32,186.66
5/10/2016,505,BASSE,4,201,5,8,210,95.71,214.33
5/10/2016,509,HILDEBRAND,4,321,50,4,375,85.6,222.05
5/10/2016,515,SOUTHCROSS,8,371,49,13,428,86.68,194.47
5/10/2016,520,ZARZAMORA,68,1035,259,63,1362,75.99,159.43
5/10/2016,522,BABCOCK,15,261,39,107,315,82.86,180.00
5/10/2016,524,GENERAL McMULLEN Frequent,37,653,83,55,773,84.48,210.90
5/10/2016,534,WURZBACH,22,499,135,2,656,76.07,212.49
5/10/2016,550,LOOPER Skip,23,479,46,5,548,87.41,226.22
5/10/2016,551,LOOPER Skip,13,552,95,11,660,83.64,191.89
5/10/2016,602,NORTH STAR / MEDICAL CENTER,4,183,75,7,262,69.85,106.44
5/10/2016,603,MEDICAL CENTER/UTSA,6,115,57,57,178,64.61,182.27
5/10/2016,604,MEDICAL CENTER/UNIVERSITY HGTS.,1,154,34,3,189,81.48,105.69
5/10/2016,605,UTSA/MAINLAND,0,57,24,27,81,70.37,144.99
5/10/2016,606,MEDICAL CENTER/ALAMO RANCH,7,187,23,16,217,86.18,103.60
5/10/2016,607,MEDICAL CENTER / INGRAM,1,93,11,6,105,88.57,182.48
5/10/2016,609,INGRAM/MAINLAND,2,108,21,4,131,82.44,107.82
5/10/2016,610,INGRAM/NORTHWEST CROSSING,6,177,73,25,256,69.14,146.72
5/10/2016,611,VALLEY-HI / KEL-LAC,7,82,4,21,93,88.17,331.28
5/10/2016,612,KEL-LAC/WESTLAKES,10,99,4,1,113,87.61,237.42
5/10/2016,613,HERITAGE NW / KEL-LAC,6,100,16,25,122,81.97,106.67
5/10/2016,614,HIDDEN COVE / KEL-LAC,2,103,7,2,112,91.96,176.69
5/10/2016,615,KEL-LAC / HERITAGE PARK,0,136,8,3,144,94.44,247.73
5/10/2016,616,SKY HARBOUR/KEL-LAC,4,151,14,27,169,89.35,186.03
5/10/2016,617,KEL-LAC / RAINBOW HILLS,2,123,17,5,142,86.62,236.90
5/10/2016,618,INGRAM/WESTLAKES,7,83,18,20,108,76.85,117.88
5/10/2016,619,KEL-LAC / INDIAN CREEK,6,73,20,45,99,73.74,161.97
5/10/2016,620,INGRAM/NWVISTAS,1,58,37,36,96,60.42,172.67
5/10/2016,630,RANDOLPH/SUNRISE/INDUSTRY,12,266,148,15,426,62.44,145.53
5/10/2016,632,RANDOLPH/VENTURA,2,176,49,91,227,77.53,129.63
5/10/2016,640,VALLEY FORGE,0,65,18,3,83,78.31,91.44
5/10/2016,641,KNOLLCREEK,1,86,1,1,88,97.73,115.08
5/10/2016,642,NACOGDOCHES,2,94,1,1,97,96.91,130.65
5/10/2016,647,NORTH STAR / HARRY WURZBACH,3,142,7,1,152,93.42,86.64
5/10/2016,648,NORTH STAR / STONE OAK PKWY.,4,258,14,2,276,93.48,116.37
5/10/2016,651,DECO DISTRICT / CASTLE HILLS,1,142,18,4,161,88.2,162.95
5/10/2016,660,NWVISTAS/UNIVESITY P&R,1,47,78,66,126,37.3,156.87
5/11/2016,2,BLANCO,6,645,161,74,812,79.43,82.32
5/11/2016,3,SAN PEDRO SKIP,5,554,99,13,658,84.19,125.23
5/11/2016,4,SAN PEDRO Frequent,17,648,45,4,710,91.27,105.26
5/11/2016,5,McCULLOUGH,22,371,52,5,445,83.37,155.18
5/11/2016,6,US-281 Express,3,159,14,4,176,90.34,93.95
5/11/2016,7,SIGHTSEER SPECIAL,1,51,11,33,63,80.95,51.70
5/11/2016,8,N ST MARYS,11,358,169,11,538,66.54,196.67
5/11/2016,9,BROADWAY,8,233,91,34,332,70.18,161.11
5/11/2016,10,NACO/BROADWAY,1,225,106,34,332,67.77,156.34
5/11/2016,14,PERRIN BEITEL,9,490,152,21,651,75.27,177.66
5/11/2016,17,IH-35 Express,2,108,19,55,129,83.72,214.36
5/11/2016,20,NEW BRAUNFELS Frequent,30,619,98,15,747,82.86,183.18
5/11/2016,21,KIRBY / CONVERSE,26,316,65,88,407,77.64,211.45
5/11/2016,22,HAYS Frequent,3,319,81,2,403,79.16,147.30
5/11/2016,24,EAST HOUSTON Frequent,18,391,30,4,439,89.07,79.97
5/11/2016,25,E. COMMERCE Frequent,14,318,126,112,458,69.43,91.70
5/11/2016,26,MARTIN LUTHER KING,18,323,67,1,408,79.17,88.11
5/11/2016,28,PORTER,15,398,144,20,557,71.45,141.78
5/11/2016,30,RIGSBY,31,298,39,8,368,80.98,166.14
5/11/2016,32,STEVES AVE.,4,260,60,10,324,80.25,277.17
5/11/2016,34,SOUTH ST.MARY'S,5,467,121,35,593,78.75,137.51
5/11/2016,36,S.PRESA,12,254,55,10,321,79.13,113.35
5/11/2016,42,ROOSEVELT,17,451,63,38,531,84.93,121.28
5/11/2016,43,SOUTH FLORES,16,252,81,11,349,72.21,116.55
5/11/2016,44,PLEASANTON RD.,3,231,127,11,361,63.99,196.81
5/11/2016,46,COMMERCIAL,16,258,37,7,311,82.96,115.30
5/11/2016,48,IH-35 S Express,2,3,10,16,15,20,47.27
5/11/2016,51,NOGALITOS,33,371,64,2,468,79.27,108.47
5/11/2016,54,SOUTH ALAMO,0,83,32,1,115,72.17,185.78
5/11/2016,62,KIRK,11,230,66,14,307,74.92,161.98
5/11/2016,64,US 90 Express,17,127,77,49,221,57.47,123.44
5/11/2016,66,CERALVO Frequent,10,587,82,11,679,86.45,155.84
5/11/2016,67,LAREDO,8,171,72,1,251,68.13,173.37
5/11/2016,68,GUADALUPE Frequent,21,539,83,9,643,83.83,148.72
5/11/2016,70,CESAR CHAVEZ,3,103,8,16,114,90.35,135.40
5/11/2016,75,W. COMMERCE Frequent,19,443,173,16,635,69.76,154.51
5/11/2016,76,WEST COMMERCE Skip,15,472,62,8,549,85.97,185.02
5/11/2016,77,MARTIN,5,173,35,30,213,81.22,150.86
5/11/2016,79,RUIZ  Frequent,17,255,105,15,377,67.64,156.81
5/11/2016,82,CULEBRA,27,473,48,10,548,86.31,81.09
5/11/2016,88,BANDERA,16,422,47,13,485,87.01,177.00
5/11/2016,89,POPLAR,10,240,46,10,296,81.08,142.17
5/11/2016,90,WOODLAWN,16,328,78,5,422,77.73,223.76
5/11/2016,93,IH-10 CROSSROADS/UTSA Express,9,232,20,32,261,88.89,104.92
5/11/2016,94,IH-10 / FIESTA TEXAS Express,4,193,9,72,206,93.69,92.53
5/11/2016,95,FREDERICKSBURG RD,2,208,9,1,219,94.98,161.11
5/11/2016,96,VANCE JACKSON,12,378,47,36,437,86.5,194.06
5/11/2016,97,WEST AVE,10,362,164,18,536,67.54,144.03
5/11/2016,100,PRIMO FRED RD,19,1020,370,58,1409,72.39,145.05
5/11/2016,502,THOUSAND OAKS,2,205,64,5,271,75.65,160.26
5/11/2016,505,BASSE,3,211,2,2,216,97.69,266.57
5/11/2016,509,HILDEBRAND,11,299,63,6,373,80.16,228.69
5/11/2016,515,SOUTHCROSS,7,373,48,13,428,87.15,153.76
5/11/2016,520,ZARZAMORA,75,1040,242,68,1357,76.64,149.99
5/11/2016,522,BABCOCK,11,278,20,97,309,89.97,104.88
5/11/2016,524,GENERAL McMULLEN Frequent,18,486,207,133,711,68.35,92.44
5/11/2016,534,WURZBACH,39,530,86,3,655,80.92,198.62
5/11/2016,550,LOOPER Skip,22,433,83,15,538,80.48,203.66
5/11/2016,551,LOOPER Skip,13,517,115,26,645,80.16,213.94
5/11/2016,602,NORTH STAR / MEDICAL CENTER,6,197,60,6,263,74.9,123.39
5/11/2016,603,MEDICAL CENTER/UTSA,8,127,54,21,189,67.2,160.76
5/11/2016,604,MEDICAL CENTER/UNIVERSITY HGTS.,4,152,31,5,187,81.28,186.77
5/11/2016,605,UTSA/MAINLAND,0,59,22,15,81,72.84,244.04
5/11/2016,606,MEDICAL CENTER/ALAMO RANCH,9,188,28,2,225,83.56,93.36
5/11/2016,607,MEDICAL CENTER / INGRAM,0,86,18,1,104,82.69,247.07
5/11/2016,609,INGRAM/MAINLAND,3,121,9,2,133,90.98,97.32
5/11/2016,610,INGRAM/NORTHWEST CROSSING,8,187,52,34,247,75.71,92.40
5/11/2016,611,VALLEY-HI / KEL-LAC,7,77,9,21,93,82.8,255.86
5/11/2016,612,KEL-LAC/WESTLAKES,9,97,4,4,110,88.18,119.23
5/11/2016,613,HERITAGE NW / KEL-LAC,4,99,34,10,137,72.26,140.93
5/11/2016,614,HIDDEN COVE / KEL-LAC,1,97,15,1,113,85.84,167.37
5/11/2016,615,KEL-LAC / HERITAGE PARK,0,107,38,2,145,73.79,119.61
5/11/2016,616,SKY HARBOUR/KEL-LAC,14,149,8,25,171,87.13,219.13
5/11/2016,617,KEL-LAC / RAINBOW HILLS,9,129,7,2,145,88.97,73.23
5/11/2016,618,INGRAM/WESTLAKES,7,83,15,23,105,79.05,108.35
5/11/2016,619,KEL-LAC / INDIAN CREEK,2,76,32,34,110,69.09,90.37
5/11/2016,620,INGRAM/NWVISTAS,1,113,16,8,130,86.92,129.76
5/11/2016,630,RANDOLPH/SUNRISE/INDUSTRY,4,251,182,4,437,57.44,127.50
5/11/2016,632,RANDOLPH/VENTURA,3,188,42,85,233,80.69,140.12
5/11/2016,640,VALLEY FORGE,0,61,24,7,85,71.76,201.07
5/11/2016,641,KNOLLCREEK,0,81,7,1,88,92.05,275.10
5/11/2016,642,NACOGDOCHES,3,88,6,1,97,90.72,98.61
5/11/2016,647,NORTH STAR / HARRY WURZBACH,2,133,9,9,144,92.36,123.69
5/11/2016,648,NORTH STAR / STONE OAK PKWY.,5,207,62,4,274,75.55,153.23
5/11/2016,651,DECO DISTRICT / CASTLE HILLS,0,143,18,4,161,88.82,82.48
5/11/2016,660,NWVISTAS/UNIVESITY P&R,6,151,32,9,189,79.89,68.58
5/12/2016,2,BLANCO,26,607,184,69,817,74.3,85.57
5/12/2016,3,SAN PEDRO SKIP,8,549,107,18,664,82.68,166.87
5/12/2016,4,SAN PEDRO Frequent,16,635,58,17,709,89.56,101.30
5/12/2016,5,McCULLOUGH,15,391,40,4,446,87.67,165.13
5/12/2016,6,US-281 Express,9,161,2,8,172,93.6,105.71
5/12/2016,7,SIGHTSEER SPECIAL,0,52,15,29,67,77.61,32.19
5/12/2016,8,N ST MARYS,16,414,110,9,540,76.67,195.19
5/12/2016,9,BROADWAY,9,243,87,51,339,71.68,158.46
5/12/2016,10,NACO/BROADWAY,7,280,46,33,333,84.08,129.96
5/12/2016,14,PERRIN BEITEL,19,582,62,12,663,87.78,131.32
5/12/2016,17,IH-35 Express,9,111,9,55,129,86.05,163.05
5/12/2016,20,NEW BRAUNFELS Frequent,31,678,43,4,752,90.16,133.09
5/12/2016,21,KIRBY / CONVERSE,25,340,48,84,413,82.32,117.86
5/12/2016,22,HAYS Frequent,8,372,19,6,399,93.23,138.41
5/12/2016,24,EAST HOUSTON Frequent,22,387,31,19,440,87.95,83.44
5/12/2016,25,E. COMMERCE Frequent,14,347,98,104,459,75.6,98.36
5/12/2016,26,MARTIN LUTHER KING,12,312,78,7,402,77.61,121.80
5/12/2016,28,PORTER,24,411,129,8,564,72.87,118.74
5/12/2016,30,RIGSBY,35,304,33,4,372,81.72,188.94
5/12/2016,32,STEVES AVE.,11,264,48,6,323,81.73,263.07
5/12/2016,34,SOUTH ST.MARY'S,12,401,157,56,570,70.35,116.12
5/12/2016,36,S.PRESA,11,257,59,4,327,78.59,158.80
5/12/2016,42,ROOSEVELT,25,442,66,36,533,82.93,177.06
5/12/2016,43,SOUTH FLORES,18,273,70,13,361,75.62,172.71
5/12/2016,44,PLEASANTON RD.,4,283,72,10,359,78.83,215.66
5/12/2016,46,COMMERCIAL,26,267,20,5,313,85.3,313.58
5/12/2016,48,IH-35 S Express,3,10,3,15,16,62.5,161.79
5/12/2016,51,NOGALITOS,12,379,77,2,468,80.98,145.30
5/12/2016,54,SOUTH ALAMO,1,90,25,0,116,77.59,103.99
5/12/2016,62,KIRK,16,224,65,9,305,73.44,175.67
5/12/2016,64,US 90 Express,13,131,74,63,218,60.09,199.65
5/12/2016,66,CERALVO Frequent,4,643,37,0,684,94.01,165.72
5/12/2016,67,LAREDO,5,194,49,4,248,78.23,146.27
5/12/2016,68,GUADALUPE Frequent,22,552,66,12,640,86.25,135.96
5/12/2016,70,CESAR CHAVEZ,3,104,8,15,115,90.43,106.37
5/12/2016,75,W. COMMERCE Frequent,18,478,135,10,631,75.75,121.52
5/12/2016,76,WEST COMMERCE Skip,14,499,45,4,558,89.43,165.85
5/12/2016,77,MARTIN,8,169,33,33,210,80.48,102.84
5/12/2016,79,RUIZ  Frequent,34,304,45,9,383,79.37,161.54
5/12/2016,82,CULEBRA,10,473,72,3,555,85.23,127.06
5/12/2016,88,BANDERA,11,427,55,11,493,86.61,148.51
5/12/2016,89,POPLAR,14,252,33,7,299,84.28,126.49
5/12/2016,90,WOODLAWN,6,332,87,2,425,78.12,217.94
5/12/2016,93,IH-10 CROSSROADS/UTSA Express,5,263,10,15,278,94.6,178.09
5/12/2016,94,IH-10 / FIESTA TEXAS Express,2,176,24,76,202,87.13,83.15
5/12/2016,95,FREDERICKSBURG RD,4,209,5,2,218,95.87,157.61
5/12/2016,96,VANCE JACKSON,21,383,45,6,449,85.3,173.97
5/12/2016,97,WEST AVE,8,412,130,4,550,74.91,157.82
5/12/2016,100,PRIMO FRED RD,51,1159,216,41,1426,81.28,134.95
5/12/2016,502,THOUSAND OAKS,7,226,38,5,271,83.39,132.74
5/12/2016,505,BASSE,7,206,4,1,217,94.93,272.91
5/12/2016,509,HILDEBRAND,12,310,51,6,373,83.11,153.85
5/12/2016,515,SOUTHCROSS,7,354,68,12,429,82.52,180.04
5/12/2016,520,ZARZAMORA,74,1045,246,60,1365,76.56,115.83
5/12/2016,522,BABCOCK,15,354,36,1,405,87.41,193.95
5/12/2016,524,GENERAL McMULLEN Frequent,34,689,40,65,763,90.3,178.62
5/12/2016,534,WURZBACH,33,517,108,0,658,78.57,193.65
5/12/2016,550,LOOPER Skip,24,499,28,2,551,90.56,183.26
5/12/2016,551,LOOPER Skip,12,567,76,16,655,86.56,145.13
5/12/2016,602,NORTH STAR / MEDICAL CENTER,6,209,50,4,265,78.87,120.28
5/12/2016,603,MEDICAL CENTER/UTSA,2,135,52,21,189,71.43,109.95
5/12/2016,604,MEDICAL CENTER/UNIVERSITY HGTS.,5,154,28,5,187,82.35,183.72
5/12/2016,605,UTSA/MAINLAND,2,56,22,16,80,70,165.73
5/12/2016,606,MEDICAL CENTER/ALAMO RANCH,12,179,29,7,220,81.36,172.34
5/12/2016,607,MEDICAL CENTER / INGRAM,1,89,10,5,100,89,231.83
5/12/2016,609,INGRAM/MAINLAND,9,106,17,3,132,80.3,242.99
5/12/2016,610,INGRAM/NORTHWEST CROSSING,7,179,67,28,253,70.75,134.69
5/12/2016,611,VALLEY-HI / KEL-LAC,4,83,8,19,95,87.37,252.34
5/12/2016,612,KEL-LAC/WESTLAKES,9,102,3,0,114,89.47,84.55
5/12/2016,613,HERITAGE NW / KEL-LAC,7,131,9,0,147,89.12,129.24
5/12/2016,614,HIDDEN COVE / KEL-LAC,3,104,5,2,112,92.86,169.75
5/12/2016,615,KEL-LAC / HERITAGE PARK,2,125,20,0,147,85.03,116.17
5/12/2016,616,SKY HARBOUR/KEL-LAC,6,153,10,27,169,90.53,186.09
5/12/2016,617,KEL-LAC / RAINBOW HILLS,5,130,9,3,144,90.28,161.96
5/12/2016,618,INGRAM/WESTLAKES,3,72,29,24,104,69.23,95.28
5/12/2016,619,KEL-LAC / INDIAN CREEK,2,105,13,24,120,87.5,95.06
5/12/2016,620,INGRAM/NWVISTAS,8,97,22,2,127,76.38,135.52
5/12/2016,630,RANDOLPH/SUNRISE/INDUSTRY,20,245,162,14,427,57.38,113.27
5/12/2016,632,RANDOLPH/VENTURA,6,162,66,84,234,69.23,94.76
5/12/2016,640,VALLEY FORGE,1,65,16,4,82,79.27,119.58
5/12/2016,641,KNOLLCREEK,1,81,6,1,88,92.05,95.63
5/12/2016,642,NACOGDOCHES,0,95,3,0,98,96.94,102.82
5/12/2016,647,NORTH STAR / HARRY WURZBACH,10,131,11,1,152,86.18,130.57
5/12/2016,648,NORTH STAR / STONE OAK PKWY.,13,218,44,3,275,79.27,177.22
5/12/2016,651,DECO DISTRICT / CASTLE HILLS,3,144,17,1,164,87.8,133.21
5/12/2016,660,NWVISTAS/UNIVESITY P&R,25,120,39,2,184,65.22,93.32
5/13/2016,2,BLANCO,14,640,215,26,869,73.65,119.67
5/13/2016,3,SAN PEDRO SKIP,8,511,149,3,668,76.5,126.08
5/13/2016,4,SAN PEDRO Frequent,11,576,125,2,712,80.9,181.05
5/13/2016,5,McCULLOUGH,21,316,110,27,447,70.69,200.21
5/13/2016,6,US-281 Express,6,148,21,5,175,84.57,122.37
5/13/2016,7,SIGHTSEER SPECIAL,3,53,16,24,72,73.61,31.02
5/13/2016,8,N ST MARYS,11,303,208,90,522,58.05,92.93
5/13/2016,9,BROADWAY,8,289,39,30,336,86.01,191.20
5/13/2016,10,NACO/BROADWAY,7,242,83,41,332,72.89,107.55
5/13/2016,14,PERRIN BEITEL,12,444,181,26,637,69.7,126.88
5/13/2016,17,IH-35 Express,9,108,29,42,146,73.97,199.03
5/13/2016,20,NEW BRAUNFELS Frequent,29,628,93,15,750,83.73,143.11
5/13/2016,21,KIRBY / CONVERSE,10,272,127,70,409,66.5,147.49
5/13/2016,22,HAYS Frequent,25,302,74,13,401,75.31,128.09
5/13/2016,24,EAST HOUSTON Frequent,11,367,58,7,436,84.17,108.31
5/13/2016,25,E. COMMERCE Frequent,10,309,127,122,446,69.28,127.98
5/13/2016,26,MARTIN LUTHER KING,19,281,104,5,404,69.55,194.77
5/13/2016,28,PORTER,19,409,135,9,563,72.65,111.58
5/13/2016,30,RIGSBY,22,279,66,18,367,76.02,215.78
5/13/2016,32,STEVES AVE.,7,266,51,5,324,82.1,279.00
5/13/2016,34,SOUTH ST.MARY'S,9,436,158,14,603,72.31,180.92
5/13/2016,36,S.PRESA,11,263,51,6,325,80.92,182.89
5/13/2016,42,ROOSEVELT,17,440,80,44,537,81.94,111.13
5/13/2016,43,SOUTH FLORES,15,284,54,7,353,80.45,119.47
5/13/2016,44,PLEASANTON RD.,4,270,96,11,370,72.97,168.28
5/13/2016,46,COMMERCIAL,33,254,29,2,316,80.38,127.28
5/13/2016,48,IH-35 S Express,5,11,0,15,16,68.75,44.47
5/13/2016,51,NOGALITOS,25,359,77,9,461,77.87,157.25
5/13/2016,54,SOUTH ALAMO,2,79,28,7,109,72.48,150.40
5/13/2016,62,KIRK,18,240,47,9,305,78.69,128.13
5/13/2016,64,US 90 Express,7,121,84,58,212,57.08,156.72
5/13/2016,66,CERALVO Frequent,12,604,63,5,679,88.95,155.63
5/13/2016,67,LAREDO,5,141,92,24,238,59.24,281.47
5/13/2016,68,GUADALUPE Frequent,18,489,135,22,642,76.17,156.64
5/13/2016,70,CESAR CHAVEZ,1,95,20,14,116,81.9,132.99
5/13/2016,75,W. COMMERCE Frequent,12,435,189,11,636,68.4,156.69
5/13/2016,76,WEST COMMERCE Skip,10,451,90,6,551,81.85,110.37
5/13/2016,77,MARTIN,5,149,53,36,207,71.98,142.40
5/13/2016,79,RUIZ  Frequent,19,242,116,15,377,64.19,117.28
5/13/2016,82,CULEBRA,31,447,70,10,548,81.57,113.55
5/13/2016,88,BANDERA,15,419,54,22,488,85.86,216.32
5/13/2016,89,POPLAR,7,247,48,4,302,81.79,133.31
5/13/2016,90,WOODLAWN,6,346,74,1,426,81.22,195.54
5/13/2016,93,IH-10 CROSSROADS/UTSA Express,11,228,30,24,269,84.76,100.48
5/13/2016,94,IH-10 / FIESTA TEXAS Express,2,160,83,45,245,65.31,85.01
5/13/2016,95,FREDERICKSBURG RD,0,197,23,0,220,89.55,181.59
5/13/2016,96,VANCE JACKSON,12,357,77,9,446,80.04,217.59
5/13/2016,97,WEST AVE,10,373,160,11,543,68.69,127.92
5/13/2016,100,PRIMO FRED RD,38,1070,331,28,1439,74.36,142.30
5/13/2016,502,THOUSAND OAKS,1,206,66,3,273,75.46,160.23
5/13/2016,505,BASSE,4,160,53,1,217,73.73,206.28
5/13/2016,509,HILDEBRAND,10,295,69,5,374,78.88,281.84
5/13/2016,515,SOUTHCROSS,12,391,27,11,430,90.93,190.34
5/13/2016,520,ZARZAMORA,76,1042,229,78,1347,77.36,166.25
5/13/2016,522,BABCOCK,4,272,34,96,310,87.74,137.41
5/13/2016,524,GENERAL McMULLEN Frequent,15,605,152,56,772,78.37,149.77
5/13/2016,534,WURZBACH,36,489,131,2,656,74.54,253.43
5/13/2016,550,LOOPER Skip,26,464,59,4,549,84.52,244.20
5/13/2016,551,LOOPER Skip,9,437,194,31,640,68.28,257.91
5/13/2016,602,NORTH STAR / MEDICAL CENTER,3,203,56,7,262,77.48,140.64
5/13/2016,603,MEDICAL CENTER/UTSA,4,135,52,19,191,70.68,149.01
5/13/2016,604,MEDICAL CENTER/UNIVERSITY HGTS.,2,148,38,4,188,78.72,195.25
5/13/2016,605,UTSA/MAINLAND,0,54,27,15,81,66.67,125.49
5/13/2016,606,MEDICAL CENTER/ALAMO RANCH,11,160,53,3,224,71.43,91.49
5/13/2016,607,MEDICAL CENTER / INGRAM,1,79,23,2,103,76.7,199.00
5/13/2016,609,INGRAM/MAINLAND,3,105,27,0,135,77.78,161.94
5/13/2016,610,INGRAM/NORTHWEST CROSSING,8,187,61,25,256,73.05,152.98
5/13/2016,611,VALLEY-HI / KEL-LAC,5,72,16,21,93,77.42,254.06
5/13/2016,612,KEL-LAC/WESTLAKES,3,104,6,1,113,92.04,218.43
5/13/2016,613,HERITAGE NW / KEL-LAC,8,113,25,1,146,77.4,188.82
5/13/2016,614,HIDDEN COVE / KEL-LAC,2,85,21,6,108,78.7,256.99
5/13/2016,615,KEL-LAC / HERITAGE PARK,0,104,38,5,142,73.24,248.48
5/13/2016,616,SKY HARBOUR/KEL-LAC,2,150,19,25,171,87.72,184.62
5/13/2016,617,KEL-LAC / RAINBOW HILLS,8,132,5,2,145,91.03,225.16
5/13/2016,618,INGRAM/WESTLAKES,4,49,57,18,110,44.55,85.68
5/13/2016,619,KEL-LAC / INDIAN CREEK,2,102,16,24,120,85,218.28
5/13/2016,620,INGRAM/NWVISTAS,6,87,20,16,113,76.99,164.70
5/13/2016,630,RANDOLPH/SUNRISE/INDUSTRY,31,274,110,26,415,66.02,126.40
5/13/2016,632,RANDOLPH/VENTURA,4,160,78,76,242,66.12,225.00
5/13/2016,640,VALLEY FORGE,2,51,30,3,83,61.45,106.32
5/13/2016,641,KNOLLCREEK,0,81,7,1,88,92.05,135.96
5/13/2016,642,NACOGDOCHES,0,96,2,0,98,97.96,117.46
5/13/2016,647,NORTH STAR / HARRY WURZBACH,11,127,13,2,151,84.11,86.87
5/13/2016,648,NORTH STAR / STONE OAK PKWY.,5,218,53,2,276,78.99,192.63
5/13/2016,651,DECO DISTRICT / CASTLE HILLS,3,118,17,27,138,85.51,126.94
5/13/2016,660,NWVISTAS/UNIVESITY P&R,15,99,41,31,155,63.87,76.71
5/14/2016,2,BLANCO,8,402,130,32,540,74.44,187.38
5/14/2016,3,SAN PEDRO SKIP,7,330,155,3,492,67.07,110.70
5/14/2016,4,SAN PEDRO Frequent,15,342,136,29,493,69.37,99.75
5/14/2016,5,McCULLOUGH,8,236,57,4,301,78.41,166.21
5/14/2016,7,SIGHTSEER SPECIAL,2,44,24,26,70,62.86,25.12
5/14/2016,8,N ST MARYS,14,340,58,2,412,82.52,189.16
5/14/2016,9,BROADWAY,5,297,26,38,328,90.55,221.83
5/14/2016,10,NACO/BROADWAY,0,294,39,33,333,88.29,266.86
5/14/2016,14,PERRIN BEITEL,16,438,88,17,542,80.81,180.45
5/14/2016,16,JBSA EXPRESS FT. SAM HOUSTON / USO,1,65,10,4,76,85.53,266.92
5/14/2016,17,IH-35 Express,0,69,9,14,78,88.46,224.67
