ServiceDateTime,Routes,RouteName,EarlyDeparture,OnTime,LateArrival,Missing,TimePointCount,OTP,AverageDwellTime
6/30/2016,609,INGRAM/MAINLAND,0,119,11,5,130,91.54,165.30
6/30/2016,610,INGRAM/NORTHWEST CROSSING,14,201,39,27,254,79.13,93.51
6/30/2016,611,VALLEY-HI / KEL-LAC,0,91,4,19,95,95.79,254.17
6/30/2016,612,KEL-LAC/WESTLAKES,1,105,8,0,114,92.11,204.23
6/30/2016,613,HERITAGE NW / KEL-LAC,3,130,14,0,147,88.44,175.28
6/30/2016,614,HIDDEN COVE / KEL-LAC,11,89,14,0,114,78.07,189.34
6/30/2016,615,KEL-LAC / HERITAGE PARK,10,126,9,2,145,86.9,260.21
6/30/2016,616,SKY HARBOUR/KEL-LAC,1,95,31,73,127,74.8,88.09
6/30/2016,617,KEL-LAC / RAINBOW HILLS,9,119,17,8,145,82.07,211.93
6/30/2016,618,INGRAM/WESTLAKES,5,81,19,23,105,77.14,83.76
6/30/2016,619,KEL-LAC / INDIAN CREEK,1,94,26,23,121,77.69,186.38
6/30/2016,620,INGRAM/NWVISTAS,2,76,40,11,118,64.41,155.93
6/30/2016,630,RANDOLPH/SUNRISE/INDUSTRY,4,245,177,15,426,57.51,130.12
6/30/2016,632,RANDOLPH/VENTURA,4,159,57,84,220,72.27,102.69
6/30/2016,640,VALLEY FORGE,3,74,6,3,83,89.16,115.52
6/30/2016,641,KNOLLCREEK,2,87,0,0,89,97.75,96.62
6/30/2016,642,NACOGDOCHES,4,88,5,1,97,90.72,136.97
6/30/2016,647,NORTH STAR / HARRY WURZBACH,3,131,16,3,150,87.33,159.45
6/30/2016,648,NORTH STAR / STONE OAK PKWY.,4,239,31,4,274,87.23,118.72
6/30/2016,651,DECO DISTRICT / CASTLE HILLS,4,159,2,0,165,96.36,113.62
6/30/2016,660,NWVISTAS/UNIVESITY P&R,3,95,83,13,181,52.49,52.92
6/30/2016,999,GSA SHUTTLE,0,0,0,64,0,NULL,NULL
7/1/2016,2,BLANCO,39,597,141,97,777,76.83,127.47
7/1/2016,3,SAN PEDRO SKIP,7,495,156,13,658,75.23,155.04
7/1/2016,4,SAN PEDRO Frequent,10,490,207,29,707,69.31,153.80
7/1/2016,5,McCULLOUGH,12,367,68,3,447,82.1,168.38
7/1/2016,6,US-281 Express,6,156,15,3,177,88.14,111.03
7/1/2016,8,N ST MARYS,21,268,250,10,539,49.72,211.89
7/1/2016,9,BROADWAY,6,295,43,40,344,85.76,218.41
7/1/2016,10,NACO/BROADWAY,9,267,72,30,348,76.72,108.08
7/1/2016,11,VIVA CULTURE,40,303,49,118,392,77.3,63.63
7/1/2016,14,PERRIN BEITEL SKIP,39,475,90,20,604,78.64,158.67
7/1/2016,17,IH-35 Express,6,109,15,59,130,83.85,149.69
7/1/2016,20,NEW BRAUNFELS Frequent,23,474,142,119,639,74.18,153.63
7/1/2016,21,KIRBY / CONVERSE,33,315,52,79,400,78.75,151.51
7/1/2016,22,HAYS Frequent,17,337,41,5,395,85.32,134.52
7/1/2016,24,EAST HOUSTON Frequent,13,280,116,38,409,68.46,103.99
7/1/2016,25,E. COMMERCE Frequent,22,277,166,142,465,59.57,94.60
7/1/2016,26,MARTIN LUTHER KING,3,210,136,69,349,60.17,166.66
7/1/2016,28,PORTER,19,381,161,22,561,67.91,172.70
7/1/2016,30,RIGSBY,8,324,34,7,366,88.52,188.45
7/1/2016,32,STEVES AVE.,3,262,56,13,321,81.62,213.66
7/1/2016,34,SOUTH ST.MARY'S,8,345,104,160,457,75.49,137.63
7/1/2016,36,S.PRESA,8,260,57,6,325,80,155.32
7/1/2016,40,VIVA MISSIONS,5,110,15,42,130,84.62,394.46
7/1/2016,42,ROOSEVELT,13,434,110,12,557,77.92,122.04
7/1/2016,43,SOUTH FLORES,12,297,66,9,375,79.2,103.41
7/1/2016,44,PLEASANTON RD.,11,301,74,6,386,77.98,181.58
7/1/2016,46,COMMERCIAL,14,285,24,7,323,88.24,197.28
7/1/2016,48,IH-35 S Express,2,17,1,11,20,85,232.81
7/1/2016,51,NOGALITOS,22,364,76,8,462,78.79,182.26
7/1/2016,54,SOUTH ALAMO,3,87,26,0,116,75,100.41
7/1/2016,62,KIRK,7,217,90,9,314,69.11,245.38
7/1/2016,64,US 90 Express,22,139,35,133,196,70.92,112.58
7/1/2016,66,CERALVO Frequent,13,515,125,32,653,78.87,156.04
7/1/2016,67,LAREDO,8,142,103,7,253,56.13,90.63
7/1/2016,68,GUADALUPE Frequent,6,340,203,110,549,61.93,176.90
7/1/2016,70,CESAR CHAVEZ,1,90,25,0,116,77.59,179.00
7/1/2016,75,W. COMMERCE Frequent,6,340,294,46,640,53.13,157.74
7/1/2016,76,WEST COMMERCE Skip,15,451,80,11,546,82.6,110.26
7/1/2016,77,MARTIN,6,152,53,24,211,72.04,103.66
7/1/2016,79,RUIZ  Frequent,46,290,55,9,391,74.17,131.54
7/1/2016,82,CULEBRA,12,479,63,6,554,86.46,135.30
7/1/2016,88,BANDERA,9,382,100,7,491,77.8,131.37
7/1/2016,89,POPLAR,6,230,66,4,302,76.16,129.33
7/1/2016,90,WOODLAWN,11,344,69,3,424,81.13,159.06
7/1/2016,93,IH-10 CROSSROADS/UTSA Express,11,245,21,18,277,88.45,141.79
7/1/2016,94,IH-10 / FIESTA TEXAS Express,8,155,86,34,249,62.25,90.86
7/1/2016,95,FREDERICKSBURG RD,3,165,47,5,215,76.74,262.40
7/1/2016,96,VANCE JACKSON,21,336,100,11,457,73.52,229.21
7/1/2016,97,WEST AVE,14,343,195,10,552,62.14,96.11
