ServiceDate,Routes,RouteName,CurrentRevenue,Ridership,TokenCount,TicketCount,PassCount,BillCount,UnclassifiedRevenue,DumpCount
5/10/2016,604,604-CROSSROADS/WOODS OF SHAVANO ,160.05,393,0,0,235,88,15.25,43
5/10/2016,605,605-MED./BRAUN,51.14,145,0,0,72,30,2.77,14
5/10/2016,606,606-INGRAM/NEW TERRITORIES      ,254.8,553,0,0,302,138,19.44,81
5/10/2016,607,607-CROSS./INGR.,108.72,339,0,0,197,59,8.66,29
5/10/2016,609,609-BRAUN/INGR,100.53,309,0,0,176,53,5.12,28
5/10/2016,610,610-N.W. CROSSING,249.5,593,0,0,351,133,7.58,51
5/10/2016,611,611-VALLEY HI,152.7,385,0,0,240,78,9.93,46
5/10/2016,612,612-WESTLAKES,106.67,266,0,0,159,60,4.52,30
5/10/2016,613,613-HERITAGE NW,248.48,527,0,0,273,134,7.09,53
5/10/2016,614,614-HIDDEN COVE,85.56,179,0,0,93,47,1.57,15
5/10/2016,615,615-HERITAGE PK.,326.35,757,0,0,449,182,21.75,79
5/10/2016,616,616-SKY HARBOUR,173.51,356,0,0,195,94,9.44,33
5/10/2016,617,617-RAINBOW HILLS,168.76,486,0,0,300,84,5.47,33
5/10/2016,618,618-WLAKES/ING.,128.9,278,1,0,147,68,7.49,37
5/10/2016,619,619-INDIAN CREEK,166.54,367,0,0,231,87,4.44,35
5/10/2016,620,620-BRAUN./MED.,146.84,429,0,0,210,79,7.47,37
5/10/2016,630,630-SUNRISE,283.91,701,0,0,415,160,13.8,60
5/10/2016,632,632-WOODLAKE,447.88,1123,0,0,650,251,26.38,123
5/10/2016,640,640-NACO PASS/ROLLING OAKS      ,84.44,162,0,0,80,49,2.99,23
5/10/2016,641,641-NACO PASS/ROLLING OAKS      ,77.15,167,0,0,71,43,2.19,23
5/10/2016,642,642-NACO PASS/SELMA             ,123.35,321,0,0,201,73,6.5,28
5/10/2016,647,647-TERRELL PLZ.,152.57,357,0,0,227,80,8.25,54
5/10/2016,648,648-HOLLYWOOD PK.,175.83,444,0,0,266,99,5.9,39
5/10/2016,651,651-CASTLE HILLS ,231.58,556,0,0,282,120,10.32,68
